participant,domain,xai,phase,original label,target label,case,instance id,response time (seconds),attribute values before and after,x_1_change,x_2_change,x_3_change,x_4_change,x_5_change,x_1_changed,x_2_changed,x_3_changed,x_4_changed,x_5_changed,explanation,num attributes changed,distance of counterfactual to original,counterfactual label,valid counterfactual (0/1),distance to closest minimal counterfactual,confidence for target label original,confidence for target label counterfactual,delta confidence of target label,training response,training correct (0/1)
R_7B5Jtq7sogkM7FU,diabetes,none,training,No Diabetes,,1,130105,26.839,"""Glucose"" - 83(0.0726066995409)
""Blood Pressure"" - 78(0.652173913043)
""Insulin"" - 71(0.072176853914)
""BMI"" - 29.3(0.312587805563)
""Age"" - 36(0.405405405405)",,,,,,,,,,,,,,,,,,,,Diabetes,0
R_7B5Jtq7sogkM7FU,diabetes,none,training,No Diabetes,,2,130104,11.469,"""Glucose"" - 117(0.361673184833)
""Blood Pressure"" - 64(0.347826086957)
""Insulin"" - 120(0.173224449394)
""BMI"" - 33.2(0.449564484406)
""Age"" - 24(0.0810810810811)",,,,,,,,,,,,,,,,,,,,No Diabetes,1
R_7B5Jtq7sogkM7FU,diabetes,none,training,No Diabetes,,3,130103,5.25,"""Glucose"" - 100(0.217139942187)
""Blood Pressure"" - 88(0.869565217391)
""Insulin"" - 110(0.152602491133)
""BMI"" - 46.8(0.927226749087)
""Age"" - 31(0.27027027027)",,,,,,,,,,,,,,,,,,,,Diabetes,0
R_7B5Jtq7sogkM7FU,diabetes,none,training,Diabetes,,4,130102,5.393,"""Glucose"" - 197(1)
""Blood Pressure"" - 70(0.478260869565)
""Insulin"" - 543(1)
""BMI"" - 30.5(0.354734475976)
""Age"" - 53(0.864864864865)",,,,,,,,,,,,,,,,,,,,Diabetes,1
R_7B5Jtq7sogkM7FU,diabetes,none,training,Diabetes,,5,130101,7.433,"""Glucose"" - 136(0.523210338378)
""Blood Pressure"" - 70(0.478260869565)
""Insulin"" - 110(0.152602491133)
""BMI"" - 37.1(0.586541163248)
""Age"" - 43(0.594594594595)",,,,,,,,,,,,,,,,,,,,No Diabetes,0
R_7B5Jtq7sogkM7FU,diabetes,none,training,Diabetes,,6,130100,4.887,"""Glucose"" - 160(0.727257269172)
""Blood Pressure"" - 54(0.130434782609)
""Insulin"" - 175(0.28664521983)
""BMI"" - 30.5(0.354734475976)
""Age"" - 39(0.486486486486)",,,,,,,,,,,,,,,,,,,,No Diabetes,0
R_7B5Jtq7sogkM7FU,diabetes,none,training,Diabetes,,7,130108,5.09,"""Glucose"" - 130(0.472198605679)
""Blood Pressure"" - 78(0.652173913043)
""Insulin"" - 79(0.088674420523)
""BMI"" - 28.4(0.280977802754)
""Age"" - 34(0.351351351351)",,,,,,,,,,,,,,,,,,,,Diabetes,1
R_7B5Jtq7sogkM7FU,diabetes,none,training,Diabetes,,8,130106,3.681,"""Glucose"" - 129(0.46369665023)
""Blood Pressure"" - 64(0.347826086957)
""Insulin"" - 115(0.162913470263)
""BMI"" - 26.4(0.210733352065)
""Age"" - 28(0.189189189189)",,,,,,,,,,,,,,,,,,,,No Diabetes,0
R_7B5Jtq7sogkM7FU,diabetes,none,training,No Diabetes,,9,130110,4.242,"""Glucose"" - 154(0.676245536473)
""Blood Pressure"" - 62(0.304347826087)
""Insulin"" - 284(0.511424564877)
""BMI"" - 32.8(0.435515594268)
""Age"" - 23(0.0540540540541)",,,,,,,,,,,,,,,,,,,,Diabetes,0
R_7B5Jtq7sogkM7FU,diabetes,none,training,No Diabetes,,10,130109,5.575,"""Glucose"" - 152(0.659241625574)
""Blood Pressure"" - 82(0.739130434783)
""Insulin"" - 272(0.486678214963)
""BMI"" - 41.5(0.741078954763)
""Age"" - 27(0.162162162162)",,,,,,,,,,,,,,,,,,,,Diabetes,0
R_7B5Jtq7sogkM7FU,diabetes,none,training,Diabetes,,11,130107,3.334,"""Glucose"" - 109(0.293657541234)
""Blood Pressure"" - 76(0.608695652174)
""Insulin"" - 114(0.160851274437)
""BMI"" - 27.9(0.263416690081)
""Age"" - 31(0.27027027027)",,,,,,,,,,,,,,,,,,,,Diabetes,1
R_7B5Jtq7sogkM7FU,diabetes,none,training,No Diabetes,,12,130111,2.981,"""Glucose"" - 146(0.608229892875)
""Blood Pressure"" - 76(0.608695652174)
""Insulin"" - 194(0.325826940526)
""BMI"" - 38.2(0.625175611127)
""Age"" - 29(0.216216216216)",,,,,,,,,,,,,,,,,,,,No Diabetes,1
R_7B5Jtq7sogkM7FU,diabetes,none,testing,Diabetes,No Diabetes,1,130200,14.354,"""Glucose"" - 187(0.956810066315) -> 149(0.633735759225)
""Blood Pressure"" - 76(0.608695652174) -> 68(0.434782608696)
""Insulin"" - 207(0.352635486266) -> 157(0.24952569496)
""BMI"" - 43.6(0.814835627985) -> 35.20544(0.52)
""Age"" - 53(0.864864864865)",-0.323074307091,-0.173913043478,-0.103109791306,-0.294835627985,0,1,1,1,1,0,,4,0.89493276986,Diabetes,0,0.805535651565,0.0193316016805,0.0600323549903,0.0407007533098,,
R_7B5Jtq7sogkM7FU,diabetes,none,testing,Diabetes,No Diabetes,2,130209,6.527,"""Glucose"" - 128(0.45519469478) -> 100(0.217139942187)
""Blood Pressure"" - 98(1) -> 65(0.369565217391)
""Insulin"" - 58(0.0453683081745)
""BMI"" - 32(0.407417813993)
""Age"" - 33(0.324324324324)",-0.238054752593,-0.630434782609,0,0,0,1,1,0,0,0,,2,0.868489535202,No Diabetes,1,0.677537713815,0.00126323358936,0.999958081248,0.998694847658,,
R_7B5Jtq7sogkM7FU,diabetes,none,testing,Diabetes,No Diabetes,3,130206,5.828,"""Glucose"" - 181(0.905798333617) -> 122(0.404182962081)
""Blood Pressure"" - 64(0.347826086957)
""Insulin"" - 180(0.296956198961)
""BMI"" - 34.1(0.481174487216)
""Age"" - 38(0.459459459459)",-0.501615371535,0,0,0,0,1,0,0,0,0,,1,0.501615371535,No Diabetes,1,0.629218340609,0.000759705140061,0.675762952841,0.675003247701,,
R_7B5Jtq7sogkM7FU,diabetes,none,testing,Diabetes,No Diabetes,4,130208,6.715,"""Glucose"" - 119(0.378677095732) -> 106(0.268151674885)
""Blood Pressure"" - 50(0.0434782608696)
""Insulin"" - 176(0.288707415656) -> 94(0.119607357915)
""BMI"" - 27.1(0.235318909806) -> 24.10136(0.13)
""Age"" - 33(0.324324324324)",-0.110525420847,0,-0.169100057741,-0.105318909806,0,1,0,1,1,0,,3,0.384944388394,No Diabetes,1,0.580009018242,5.14842648366e-05,0.545308046181,0.545256561916,,
R_7B5Jtq7sogkM7FU,diabetes,none,testing,Diabetes,No Diabetes,5,130205,5.682,"""Glucose"" - 108(0.285155585785) -> 98(0.200136031287)
""Blood Pressure"" - 44(0)
""Insulin"" - 130(0.193846407655) -> 94(0.119607357915)
""BMI"" - 24(0.126440011239)
""Age"" - 35(0.378378378378)",-0.0850195544975,0,-0.0742390497402,0,0,1,0,1,0,0,,2,0.159258604238,Diabetes,0,0.294981283439,0.000410874889345,0.347482734876,0.347071859987,,
R_7B5Jtq7sogkM7FU,diabetes,none,testing,Diabetes,No Diabetes,6,130201,4.424,"""Glucose"" - 158(0.710253358272) -> 106(0.268151674885)
""Blood Pressure"" - 64(0.347826086957)
""Insulin"" - 387(0.723830734967) -> 201(0.340262311309)
""BMI"" - 31.2(0.379320033717)
""Age"" - 24(0.0810810810811)",-0.442101683387,0,-0.383568423658,0,0,1,0,1,0,0,,2,0.825670107045,No Diabetes,1,0.734210792924,0.0206474394228,0.999756404694,0.979108965272,,
R_7B5Jtq7sogkM7FU,diabetes,none,testing,Diabetes,No Diabetes,7,130203,4.813,"""Glucose"" - 128(0.45519469478) -> 100(0.217139942187)
""Blood Pressure"" - 88(0.869565217391) -> 65(0.369565217391)
""Insulin"" - 110(0.152602491133)
""BMI"" - 36.5(0.565467828042)
""Age"" - 37(0.432432432432)",-0.238054752593,-0.5,0,0,0,1,1,0,0,0,,2,0.738054752593,No Diabetes,1,0.721603518751,0.10151951701,0.999998291942,0.898478774932,,
R_7B5Jtq7sogkM7FU,diabetes,none,testing,Diabetes,No Diabetes,8,130202,4.196,"""Glucose"" - 165(0.769767046421) -> 124(0.421186872981)
""Blood Pressure"" - 68(0.434782608696) -> 62(0.304347826087)
""Insulin"" - 168(0.272209849047)
""BMI"" - 33.6(0.463613374543)
""Age"" - 49(0.756756756757)",-0.34858017344,-0.130434782609,0,0,0,1,1,0,0,0,,2,0.479014956049,No Diabetes,1,0.546814246165,0.00169891992297,0.996822619499,0.995123699576,,
R_7B5Jtq7sogkM7FU,diabetes,none,testing,Diabetes,No Diabetes,9,130207,4.467,"""Glucose"" - 173(0.837782690019) -> 111(0.310661452134)
""Blood Pressure"" - 70(0.478260869565) -> 58(0.217391304348)
""Insulin"" - 168(0.272209849047)
""BMI"" - 29.7(0.326636695701)
""Age"" - 33(0.324324324324)",-0.527121237885,-0.260869565217,0,0,0,1,1,0,0,0,,2,0.787990803102,Diabetes,0,0.854234241683,0.0202974786765,0.305995145079,0.285697666402,,
