participant,domain,xai,phase,original label,target label,case,instance id,response time (seconds),attribute values before and after,x_1_change,x_2_change,x_3_change,x_4_change,x_5_change,x_1_changed,x_2_changed,x_3_changed,x_4_changed,x_5_changed,explanation,num attributes changed,distance of counterfactual to original,counterfactual label,valid counterfactual (0/1),distance to closest minimal counterfactual,confidence for target label original,confidence for target label counterfactual,delta confidence of target label,training response,training correct (0/1)
R_6upJU84Jtf3Faf5,diabetes,none,training,Diabetes,,1,160101,17.189,"""Glucose"" - 149(0.633735759225)
""Blood Pressure"" - 68(0.434782608696)
""Insulin"" - 127(0.187659820177)
""BMI"" - 29.3(0.312587805563)
""Age"" - 42(0.567567567568)",,,,,,,,,,,,,,,,,,,,Diabetes,1
R_6upJU84Jtf3Faf5,diabetes,none,training,No Diabetes,,2,160105,12.547,"""Glucose"" - 116(0.353171229383)
""Blood Pressure"" - 72(0.521739130435)
""Insulin"" - 87(0.105171987132)
""BMI"" - 22.1(0.0597077830851)
""Age"" - 37(0.432432432432)",,,,,,,,,,,,,,,,,,,,No Diabetes,1
R_6upJU84Jtf3Faf5,diabetes,none,training,Diabetes,,3,160100,5.834,"""Glucose"" - 186(0.948308110865)
""Blood Pressure"" - 90(0.913043478261)
""Insulin"" - 225(0.389755011136)
""BMI"" - 34.5(0.495223377353)
""Age"" - 37(0.432432432432)",,,,,,,,,,,,,,,,,,,,Diabetes,1
R_6upJU84Jtf3Faf5,diabetes,none,training,Diabetes,,4,160102,6.094,"""Glucose"" - 187(0.956810066315)
""Blood Pressure"" - 68(0.434782608696)
""Insulin"" - 304(0.552668481399)
""BMI"" - 37.7(0.607614498455)
""Age"" - 41(0.540540540541)",,,,,,,,,,,,,,,,,,,,Diabetes,1
R_6upJU84Jtf3Faf5,diabetes,none,training,No Diabetes,,5,160104,5.934,"""Glucose"" - 95(0.174630164938)
""Blood Pressure"" - 74(0.565217391304)
""Insulin"" - 73(0.0763012455663)
""BMI"" - 25.9(0.193172239393)
""Age"" - 36(0.405405405405)",,,,,,,,,,,,,,,,,,,,No Diabetes,1
R_6upJU84Jtf3Faf5,diabetes,none,training,No Diabetes,,6,160103,5.715,"""Glucose"" - 99(0.208637986737)
""Blood Pressure"" - 80(0.695652173913)
""Insulin"" - 64(0.0577414831312)
""BMI"" - 19.3(0)
""Age"" - 30(0.243243243243)",,,,,,,,,,,,,,,,,,,,No Diabetes,1
R_6upJU84Jtf3Faf5,diabetes,none,training,No Diabetes,,7,160110,12.963,"""Glucose"" - 180(0.897296378167)
""Blood Pressure"" - 64(0.347826086957)
""Insulin"" - 70(0.0701146580879)
""BMI"" - 34(0.477662264681)
""Age"" - 26(0.135135135135)",,,,,,,,,,,,,,,,,,,,Diabetes,0
R_6upJU84Jtf3Faf5,diabetes,none,training,No Diabetes,,8,160109,5.007,"""Glucose"" - 191(0.990817888114)
""Blood Pressure"" - 68(0.434782608696)
""Insulin"" - 130(0.193846407655)
""BMI"" - 30.9(0.368783366114)
""Age"" - 34(0.351351351351)",,,,,,,,,,,,,,,,,,,,No Diabetes,1
R_6upJU84Jtf3Faf5,diabetes,none,training,Diabetes,,9,160106,6.912,"""Glucose"" - 120(0.387179051182)
""Blood Pressure"" - 80(0.695652173913)
""Insulin"" - 200(0.338200115483)
""BMI"" - 38.9(0.649761168868)
""Age"" - 41(0.540540540541)",,,,,,,,,,,,,,,,,,,,Diabetes,1
R_6upJU84Jtf3Faf5,diabetes,none,training,Diabetes,,10,160108,8.127,"""Glucose"" - 95(0.174630164938)
""Blood Pressure"" - 82(0.739130434783)
""Insulin"" - 180(0.296956198961)
""BMI"" - 35(0.512784490025)
""Age"" - 43(0.594594594595)",,,,,,,,,,,,,,,,,,,,Diabetes,1
R_6upJU84Jtf3Faf5,diabetes,none,training,Diabetes,,11,160107,6.995,"""Glucose"" - 100(0.217139942187)
""Blood Pressure"" - 78(0.652173913043)
""Insulin"" - 184(0.305204982265)
""BMI"" - 36.6(0.568980050576)
""Age"" - 46(0.675675675676)",,,,,,,,,,,,,,,,,,,,Diabetes,1
R_6upJU84Jtf3Faf5,diabetes,none,training,No Diabetes,,12,160111,6.477,"""Glucose"" - 103(0.242645808536)
""Blood Pressure"" - 30(0)
""Insulin"" - 83(0.0969232038274)
""BMI"" - 43.3(0.804298960382)
""Age"" - 33(0.324324324324)",,,,,,,,,,,,,,,,,,,,No Diabetes,1
R_6upJU84Jtf3Faf5,diabetes,none,testing,Diabetes,No Diabetes,1,160212,27.859,"""Glucose"" - 111(0.310661452134)
""Blood Pressure"" - 72(0.521739130435)
""Insulin"" - 207(0.352635486266)
""BMI"" - 37.1(0.586541163248) -> 33.2124(0.45)
""Age"" - 56(0.945945945946) -> 47(0.702702702703)",0,0,0,-0.136541163248,-0.243243243243,0,0,0,1,1,,2,0.379784406491,Diabetes,0,0.5797802821,0.0145223683682,0.0011643692721,-0.0133579990961,,
R_6upJU84Jtf3Faf5,diabetes,none,testing,Diabetes,No Diabetes,2,160201,12.403,"""Glucose"" - 187(0.956810066315) -> 149(0.633735759225)
""Blood Pressure"" - 70(0.478260869565)
""Insulin"" - 200(0.338200115483)
""BMI"" - 36.4(0.561955605507) -> 31.7888(0.4)
""Age"" - 36(0.405405405405)",-0.323074307091,0,0,-0.161955605507,0,1,0,0,1,0,,2,0.485029912598,Diabetes,0,0.762378753644,1.00978194599e-05,0.484209526029,0.48419942821,,
R_6upJU84Jtf3Faf5,diabetes,none,testing,Diabetes,No Diabetes,3,160211,14.927,"""Glucose"" - 145(0.599727937426) -> 119(0.378677095732)
""Blood Pressure"" - 80(0.695652173913)
""Insulin"" - 130(0.193846407655)
""BMI"" - 37.9(0.614638943523) -> 29.79576(0.33)
""Age"" - 40(0.513513513514) -> 36(0.405405405405)",-0.221050841694,0,0,-0.284638943523,-0.108108108108,1,0,0,1,1,,3,0.613797893325,Diabetes,0,0.613814897236,0.0173759567743,0.105499899872,0.0881239430978,,
R_6upJU84Jtf3Faf5,diabetes,none,testing,Diabetes,No Diabetes,4,160214,15.143,"""Glucose"" - 104(0.251147763986)
""Blood Pressure"" - 74(0.565217391304)
""Insulin"" - 156(0.247463499134)
""BMI"" - 29.9(0.33366114077)
""Age"" - 41(0.540540540541) -> 32(0.297297297297)",0,0,0,0,-0.243243243243,0,0,0,0,1,,1,0.243243243243,Diabetes,0,0.443337461083,0.00403975635919,0.124281712348,0.120241955989,,
R_6upJU84Jtf3Faf5,diabetes,none,testing,Diabetes,No Diabetes,5,160210,8.829,"""Glucose"" - 100(0.217139942187)
""Blood Pressure"" - 74(0.565217391304)
""Insulin"" - 215(0.369133052875)
""BMI"" - 39.4(0.66732228154) -> 29.79576(0.33)
""Age"" - 43(0.594594594595)",0,0,0,-0.33732228154,0,0,0,0,1,0,,1,0.33732228154,Diabetes,0,0.537318157148,0.00206481615935,7.24799341694e-05,-0.00199233622519,,
