participant,domain,xai,phase,original label,target label,case,instance id,response time (seconds),attribute values before and after,x_1_change,x_2_change,x_3_change,x_4_change,x_5_change,x_1_changed,x_2_changed,x_3_changed,x_4_changed,x_5_changed,explanation,num attributes changed,distance of counterfactual to original,counterfactual label,valid counterfactual (0/1),distance to closest minimal counterfactual,confidence for target label original,confidence for target label counterfactual,delta confidence of target label,training response,training correct (0/1)
R_1LqFEhCUBdcfUxb,diabetes,attribution,training,No Diabetes,,1,130103,12.458,"""Glucose"" - 100(0.217139942187)
""Blood Pressure"" - 88(0.869565217391)
""Insulin"" - 110(0.152602491133)
""BMI"" - 46.8(0.927226749087)
""Age"" - 31(0.27027027027)",,,,,,,,,,,"""Insulin"" - +59% toward No Diabetes
""Glucose"" - +41% toward No Diabetes",,,,,,,,,No Diabetes,1
R_1LqFEhCUBdcfUxb,diabetes,attribution,training,Diabetes,,2,130101,10.861,"""Glucose"" - 136(0.523210338378)
""Blood Pressure"" - 70(0.478260869565)
""Insulin"" - 110(0.152602491133)
""BMI"" - 37.1(0.586541163248)
""Age"" - 43(0.594594594595)",,,,,,,,,,,"""Glucose"" - -55% toward Diabetes
""Insulin"" - -45% toward Diabetes",,,,,,,,,No Diabetes,0
R_1LqFEhCUBdcfUxb,diabetes,attribution,training,No Diabetes,,3,130105,8.761,"""Glucose"" - 83(0.0726066995409)
""Blood Pressure"" - 78(0.652173913043)
""Insulin"" - 71(0.072176853914)
""BMI"" - 29.3(0.312587805563)
""Age"" - 36(0.405405405405)",,,,,,,,,,,"""Glucose"" - +87% toward No Diabetes
""Insulin"" - +13% toward No Diabetes",,,,,,,,,Diabetes,0
R_1LqFEhCUBdcfUxb,diabetes,attribution,training,No Diabetes,,4,130104,5.756,"""Glucose"" - 117(0.361673184833)
""Blood Pressure"" - 64(0.347826086957)
""Insulin"" - 120(0.173224449394)
""BMI"" - 33.2(0.449564484406)
""Age"" - 24(0.0810810810811)",,,,,,,,,,,"""Insulin"" - +61% toward No Diabetes
""Glucose"" - +39% toward No Diabetes",,,,,,,,,Diabetes,0
R_1LqFEhCUBdcfUxb,diabetes,attribution,training,Diabetes,,5,130100,7.144,"""Glucose"" - 160(0.727257269172)
""Blood Pressure"" - 54(0.130434782609)
""Insulin"" - 175(0.28664521983)
""BMI"" - 30.5(0.354734475976)
""Age"" - 39(0.486486486486)",,,,,,,,,,,"""Glucose"" - -50% toward Diabetes
""Insulin"" - -50% toward Diabetes",,,,,,,,,Diabetes,1
R_1LqFEhCUBdcfUxb,diabetes,attribution,training,Diabetes,,6,130102,3.253,"""Glucose"" - 197(1)
""Blood Pressure"" - 70(0.478260869565)
""Insulin"" - 543(1)
""BMI"" - 30.5(0.354734475976)
""Age"" - 53(0.864864864865)",,,,,,,,,,,"""Glucose"" - -61% toward Diabetes
""Insulin"" - -39% toward Diabetes",,,,,,,,,Diabetes,1
R_1LqFEhCUBdcfUxb,diabetes,attribution,training,Diabetes,,7,130107,4.672,"""Glucose"" - 109(0.293657541234)
""Blood Pressure"" - 76(0.608695652174)
""Insulin"" - 114(0.160851274437)
""BMI"" - 27.9(0.263416690081)
""Age"" - 31(0.27027027027)",,,,,,,,,,,"""Age"" - -53% toward Diabetes
""Blood Pressure"" - -47% toward Diabetes",,,,,,,,,No Diabetes,0
R_1LqFEhCUBdcfUxb,diabetes,attribution,training,No Diabetes,,8,130110,5.538,"""Glucose"" - 154(0.676245536473)
""Blood Pressure"" - 62(0.304347826087)
""Insulin"" - 284(0.511424564877)
""BMI"" - 32.8(0.435515594268)
""Age"" - 23(0.0540540540541)",,,,,,,,,,,"""Age"" - +60% toward No Diabetes
""Blood Pressure"" - +40% toward No Diabetes",,,,,,,,,No Diabetes,1
R_1LqFEhCUBdcfUxb,diabetes,attribution,training,No Diabetes,,9,130109,4.608,"""Glucose"" - 152(0.659241625574)
""Blood Pressure"" - 82(0.739130434783)
""Insulin"" - 272(0.486678214963)
""BMI"" - 41.5(0.741078954763)
""Age"" - 27(0.162162162162)",,,,,,,,,,,"""Age"" - +53% toward No Diabetes
""Blood Pressure"" - +47% toward No Diabetes",,,,,,,,,Diabetes,0
R_1LqFEhCUBdcfUxb,diabetes,attribution,training,Diabetes,,10,130108,8.056,"""Glucose"" - 130(0.472198605679)
""Blood Pressure"" - 78(0.652173913043)
""Insulin"" - 79(0.088674420523)
""BMI"" - 28.4(0.280977802754)
""Age"" - 34(0.351351351351)",,,,,,,,,,,"""Age"" - -58% toward Diabetes
""Blood Pressure"" - -42% toward Diabetes",,,,,,,,,No Diabetes,0
R_1LqFEhCUBdcfUxb,diabetes,attribution,training,Diabetes,,11,130106,6.643,"""Glucose"" - 129(0.46369665023)
""Blood Pressure"" - 64(0.347826086957)
""Insulin"" - 115(0.162913470263)
""BMI"" - 26.4(0.210733352065)
""Age"" - 28(0.189189189189)",,,,,,,,,,,"""Blood Pressure"" - -53% toward Diabetes
""Age"" - -47% toward Diabetes",,,,,,,,,No Diabetes,0
R_1LqFEhCUBdcfUxb,diabetes,attribution,training,No Diabetes,,12,130111,6.779,"""Glucose"" - 146(0.608229892875)
""Blood Pressure"" - 76(0.608695652174)
""Insulin"" - 194(0.325826940526)
""BMI"" - 38.2(0.625175611127)
""Age"" - 29(0.216216216216)",,,,,,,,,,,"""Blood Pressure"" - +64% toward No Diabetes
""Age"" - +36% toward No Diabetes",,,,,,,,,Diabetes,0
R_1LqFEhCUBdcfUxb,diabetes,attribution,testing,Diabetes,No Diabetes,1,130203,261.162,"""Glucose"" - 128(0.45519469478) -> 116(0.353171229383)
""Blood Pressure"" - 88(0.869565217391) -> 61(0.282608695652)
""Insulin"" - 110(0.152602491133)
""BMI"" - 36.5(0.565467828042)
""Age"" - 37(0.432432432432)",-0.102023465397,-0.586956521739,0,0,0,1,1,0,0,0,,2,0.688979987136,No Diabetes,1,0.672528753294,0.10151951701,0.999970929535,0.898451412525,,
R_1LqFEhCUBdcfUxb,diabetes,attribution,testing,Diabetes,No Diabetes,2,130208,25.336,"""Glucose"" - 119(0.378677095732) -> 103(0.242645808536)
""Blood Pressure"" - 50(0.0434782608696)
""Insulin"" - 176(0.288707415656)
""BMI"" - 27.1(0.235318909806)
""Age"" - 33(0.324324324324)",-0.136031287196,0,0,0,0,1,0,0,0,0,,1,0.136031287196,Diabetes,0,0.331095917043,5.14842648366e-05,3.08096009436e-05,-2.0674663893e-05,,
R_1LqFEhCUBdcfUxb,diabetes,attribution,testing,Diabetes,No Diabetes,3,130202,25.671,"""Glucose"" - 165(0.769767046421) -> 132(0.489202516579)
""Blood Pressure"" - 68(0.434782608696)
""Insulin"" - 168(0.272209849047)
""BMI"" - 33.6(0.463613374543)
""Age"" - 49(0.756756756757) -> 42(0.567567567568)",-0.280564529842,0,0,0,-0.189189189189,1,0,0,0,1,,2,0.469753719031,Diabetes,0,0.537553009148,0.00169891992297,0.354295653545,0.352596733622,,
R_1LqFEhCUBdcfUxb,diabetes,attribution,testing,Diabetes,No Diabetes,4,130205,30.48,"""Glucose"" - 108(0.285155585785)
""Blood Pressure"" - 44(0)
""Insulin"" - 130(0.193846407655) -> 60(0.0494926998268)
""BMI"" - 24(0.126440011239)
""Age"" - 35(0.378378378378)",0,0,-0.144353707828,0,0,0,0,1,0,0,,1,0.144353707828,No Diabetes,1,0.280076387029,0.000410874889345,0.940323505228,0.939912630339,,
R_1LqFEhCUBdcfUxb,diabetes,attribution,testing,Diabetes,No Diabetes,5,130201,26.582,"""Glucose"" - 158(0.710253358272) -> 92(0.149124298589)
""Blood Pressure"" - 64(0.347826086957)
""Insulin"" - 387(0.723830734967)
""BMI"" - 31.2(0.379320033717)
""Age"" - 24(0.0810810810811)",-0.561129059684,0,0,0,0,1,0,0,0,0,,1,0.561129059684,No Diabetes,1,0.469669745563,0.0206474394228,0.999999765329,0.979352325907,,
R_1LqFEhCUBdcfUxb,diabetes,attribution,testing,Diabetes,No Diabetes,6,130207,47.099,"""Glucose"" - 173(0.837782690019) -> 107(0.276653630335)
""Blood Pressure"" - 70(0.478260869565)
""Insulin"" - 168(0.272209849047)
""BMI"" - 29.7(0.326636695701)
""Age"" - 33(0.324324324324)",-0.561129059684,0,0,0,0,1,0,0,0,0,,1,0.561129059684,Diabetes,0,0.627372498265,0.0202974786765,0.412602903296,0.392305424619,,
R_1LqFEhCUBdcfUxb,diabetes,attribution,testing,Diabetes,No Diabetes,7,140206,18.122,"""Glucose"" - 170(0.812276823669) -> 114(0.336167318483)
""Blood Pressure"" - 64(0.347826086957)
""Insulin"" - 225(0.389755011136)
""BMI"" - 34.5(0.495223377353) -> 30.93464(0.37)
""Age"" - 30(0.243243243243)",-0.476109505186,0,0,-0.125223377353,0,1,0,0,1,0,,2,0.601332882539,Diabetes,0,0.74130902657,8.15324239452e-05,0.354441580277,0.354360047853,,
R_1LqFEhCUBdcfUxb,diabetes,attribution,testing,Diabetes,No Diabetes,8,130204,20.013,"""Glucose"" - 133(0.497704472029)
""Blood Pressure"" - 102(1) -> 70(0.478260869565)
""Insulin"" - 140(0.214468365916)
""BMI"" - 32.8(0.435515594268)
""Age"" - 45(0.648648648649)",0,-0.521739130435,0,0,0,0,1,0,0,0,,1,0.521739130435,Diabetes,0,0.792009400705,0.00196931166883,0.137511622819,0.135542311151,,
R_1LqFEhCUBdcfUxb,diabetes,attribution,testing,Diabetes,No Diabetes,9,130209,18.324,"""Glucose"" - 128(0.45519469478)
""Blood Pressure"" - 98(1) -> 63(0.326086956522)
""Insulin"" - 58(0.0453683081745)
""BMI"" - 32(0.407417813993)
""Age"" - 33(0.324324324324)",0,-0.673913043478,0,0,0,0,1,0,0,0,,1,0.673913043478,No Diabetes,1,0.482961222092,0.00126323358936,0.991160069754,0.989896836164,,
R_1LqFEhCUBdcfUxb,diabetes,attribution,testing,Diabetes,No Diabetes,10,140200,31.055,"""Glucose"" - 174(0.846284645468) -> 94(0.166128209488)
""Blood Pressure"" - 58(0.217391304348)
""Insulin"" - 194(0.325826940526)
""BMI"" - 32.9(0.439027816802)
""Age"" - 36(0.405405405405)",-0.68015643598,0,0,0,0,1,0,0,0,0,,1,0.68015643598,Diabetes,0,0.754648657866,0.016394998512,0.1396491216,0.123254123088,,
R_1LqFEhCUBdcfUxb,diabetes,attribution,testing,No Diabetes,Diabetes,11,130306,41.249,"""Glucose"" - 102(0.234143853086) -> 84(0.0811086549906)
""Blood Pressure"" - 64(0.347826086957)
""Insulin"" - 78(0.0866122246969) -> 70(0.0701146580879)
""BMI"" - 40.6(0.709468951953)
""Age"" - 21(0)",-0.153035198096,0,-0.0164975666089,0,0,1,0,1,0,0,,2,0.169532764704,No Diabetes,0,0.25173060694,0.000893085040188,5.47924519577e-05,-0.00083829258823,,
R_1LqFEhCUBdcfUxb,diabetes,attribution,testing,No Diabetes,Diabetes,12,140307,17.353,"""Glucose"" - 90(0.132120387689)
""Blood Pressure"" - 88(0.869565217391) -> 60(0.260869565217)
""Insulin"" - 54(0.0371195248701)
""BMI"" - 37.7(0.607614498455) -> 31.7888(0.4)
""Age"" - 29(0.216216216216)",0,-0.608695652174,0,-0.207614498455,0,0,1,0,1,0,,2,0.816310150629,No Diabetes,0,0.949266553417,0.00500141667395,0.00509114279602,8.97261220694e-05,,
R_1LqFEhCUBdcfUxb,diabetes,attribution,testing,No Diabetes,Diabetes,13,130303,12.676,"""Glucose"" - 129(0.46369665023) -> 105(0.259649719435)
""Blood Pressure"" - 74(0.565217391304) -> 59(0.239130434783)
""Insulin"" - 205(0.348511094614)
""BMI"" - 33.2(0.449564484406)
""Age"" - 25(0.108108108108)",-0.204046930794,-0.326086956522,0,0,0,1,1,0,0,0,,2,0.530133887316,No Diabetes,0,0.426726131734,0.000766530678579,0.0903417423345,0.0895752116559,,
R_1LqFEhCUBdcfUxb,diabetes,attribution,testing,No Diabetes,Diabetes,14,130301,12.758,"""Glucose"" - 97(0.191634075837)
""Blood Pressure"" - 64(0.347826086957)
""Insulin"" - 100(0.131980532871) -> 152(0.239214715829)
""BMI"" - 36.8(0.576004495645)
""Age"" - 25(0.108108108108)",0,0,0.107234182958,0,0,0,0,1,0,0,,1,0.107234182958,No Diabetes,0,0.18299226557,0.0306247744831,0.000593891883627,-0.0300308825995,,
R_1LqFEhCUBdcfUxb,diabetes,attribution,testing,No Diabetes,Diabetes,15,140308,147.974,"""Glucose"" - 127(0.44669273933) -> 106(0.268151674885)
""Blood Pressure"" - 80(0.695652173913)
""Insulin"" - 210(0.358822073744) -> 128(0.189722016003)
""BMI"" - 36.3(0.558443382973) -> 27.23328(0.24)
""Age"" - 23(0.0540540540541)",-0.178541064445,0,-0.169100057741,-0.318443382973,0,1,0,1,1,0,,3,0.666084505159,No Diabetes,0,0.975720227838,1.91386523518e-07,5.10323672209e-09,-1.86283286796e-07,,
R_1LqFEhCUBdcfUxb,diabetes,attribution,testing,No Diabetes,Diabetes,16,130309,11.514,"""Glucose"" - 143(0.582724026526) -> 97(0.191634075837)
""Blood Pressure"" - 86(0.826086956522) -> 60(0.260869565217)
""Insulin"" - 330(0.606285572878) -> 191(0.319640353048)
""BMI"" - 30.1(0.340685585839)
""Age"" - 23(0.0540540540541)",-0.391089950689,-0.565217391304,-0.28664521983,0,0,1,1,1,0,0,,3,1.24295256182,No Diabetes,0,1.00911002363,0.000130785916376,7.61845037278e-07,-0.000130024071339,,
